127.0.0.1 - - [29/Mar/2024:01:20:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:22:48 +0900] "GET /HRD_2208/index.jsp HTTP/1.1" 200 1353
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:22:48 +0900] "GET /HRD_2208/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:22:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:22:53 +0900] "GET /HRD_2208/list.jsp HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:22:55 +0900] "GET /HRD_2208/join.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:22:55 +0900] "GET /HRD_2208/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:22:55 +0900] "GET /HRD_2208/salary.jsp HTTP/1.1" 200 917
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:22:57 +0900] "GET /HRD_2208/join.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:26:08 +0900] "GET /HRD_2208/index.jsp HTTP/1.1" 200 1353
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:26:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:26:11 +0900] "GET /HRD_2208/join.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:26:13 +0900] "GET /HRD_2208/list.jsp HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:26:23 +0900] "GET /HRD_2208/join.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:27:11 +0900] "GET /HRD_2208/list.jsp HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:27:12 +0900] "GET /HRD_2208/salary.jsp HTTP/1.1" 200 917
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:27:13 +0900] "GET /HRD_2208/index.jsp HTTP/1.1" 200 1353
